name,wikiLink,inCategory,addToThisList,listLink
Laura Kimmince,https://en.wikipedia.org/wiki/Laura_Kimmince,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Robyn Lambird,https://en.wikipedia.org/wiki/Robyn_Lambird,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Stephen Laybutt,https://en.wikipedia.org/wiki/Stephen_Laybutt,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Sophie Li,https://en.wikipedia.org/wiki/Sophie_Li,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Tilly Lucas-Rodd,https://en.wikipedia.org/wiki/Tilly_Lucas-Rodd,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Kate Lutkins,https://en.wikipedia.org/wiki/Kate_Lutkins,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Cian Maciejewski,https://en.wikipedia.org/wiki/Cian_Maciejewski,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Cecilia McIntosh,https://en.wikipedia.org/wiki/Cecilia_McIntosh,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Aasta O'Connor,https://en.wikipedia.org/wiki/Aasta_O'Connor,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Tanya Oxtoby,https://en.wikipedia.org/wiki/Tanya_Oxtoby,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Felicity Palmateer,https://en.wikipedia.org/wiki/Felicity_Palmateer,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Madison Prespakis,https://en.wikipedia.org/wiki/Madison_Prespakis,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Marijana Rajcic,https://en.wikipedia.org/wiki/Marijana_Rajcic,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
