QID,Name,link,sex/gender,sex/gender reference,sexual orientation,sexual orientation reference,pronounsEn,pronouns reference
Q16019695,Sally Gross,https://en.wikipedia.org/wiki/Sally_Gross,['transgender female' 'intersex'],,,,,
Q6137906,Celeste Lecesne,https://en.wikipedia.org/wiki/Celeste_Lecesne,non-binary,,,,['they/them' 'he/him'],
Q16191502,Gigi Raven Wilbur,https://en.wikipedia.org/wiki/Gigi_Raven_Wilbur,['third gender' 'intersex'],,,,,
Q27804542,Ashley Hans Scheirl,https://en.wikipedia.org/wiki/Ashley_Hans_Scheirl,['non-binary' 'transgender male'],,,,,
Q219368,Judith Butler,https://en.wikipedia.org/wiki/Judith_Butler,non-binary,,,,['they/them' 'she/her'],
Q59304470,Dana Zzyym,https://en.wikipedia.org/wiki/Dana_Zzyym,['non-binary' 'intersex'],,,,they/them,
Q4714088,Alec Butler,https://en.wikipedia.org/wiki/Alec_Butler,['non-binary' 'two-spirit' 'intersex'],,,,['they/them' 'he/him'],
Q7908495,Vaginal Davis,https://en.wikipedia.org/wiki/Vaginal_Davis,['intersex' 'genderqueer'],,,,she/her,
Q2184751,Norrie May-Welby,https://en.wikipedia.org/wiki/Norrie_May-Welby,['non-binary' 'neutral sex'],,,,they/them,
Q5360190,Eli Clare,https://en.wikipedia.org/wiki/Eli_Clare,['non-binary' 'transgender male' 'genderqueer'],,,,,
Q5791027,Cris Miró,https://en.wikipedia.org/wiki/Cris_Miró,['transgender female' 'travesti'],,,,,
Q111572,Stephen Trask,https://en.wikipedia.org/wiki/Stephen_Trask,non-binary,,,,['they/them' 'he/him'],
Q16201693,Hida Viloria,https://en.wikipedia.org/wiki/Hida_Viloria,['non-binary' 'intersex'],,,,she/her,
Q16224508,Seven Graham,https://en.wikipedia.org/wiki/Seven_Graham,['non-binary' 'intersex'],,,,they/them,
Q70962892,Indianarae Alves Siqueira,https://en.wikipedia.org/wiki/Indianarae_Alves_Siqueira,['non-binary' 'travesti'],,,,['L307268' 'she/her'],
Q11501241,Shō Arai,https://en.wikipedia.org/wiki/Shō_Arai,['intersex' 'transgender male'],,,,,
Q2098277,Planningtorock,https://en.wikipedia.org/wiki/Planningtorock,non-binary,,,,['L413030' 'L304659' 'they/them'],
Q55731552,Kristian Ranđelović,https://en.wikipedia.org/wiki/Kristian_Ranđelović,['intersex' 'transgender male'],,,,,
Q16138640,Tanwarin Sukkhapisit,https://en.wikipedia.org/wiki/Tanwarin_Sukkhapisit,['non-binary' 'genderqueer'],,,,they/them,
Q6395780,Kevin Barnes,https://en.wikipedia.org/wiki/Kevin_Barnes,['non-binary' 'genderqueer'],,,,['they/them' 'she/her' 'he/him'],
Q9299826,Bárbara Paz,https://en.wikipedia.org/wiki/Bárbara_Paz,['non-binary' 'bigender'],,,,,
Q16201313,Reuben Zellman,https://en.wikipedia.org/wiki/Reuben_Zellman,['non-binary' 'intersex'],,,,he/him,
Q260570,Karin Dreijer,https://en.wikipedia.org/wiki/Karin_Dreijer,genderfluid,,,,['L303200' 'they/them'],
Q40069,Sara Ramirez,https://en.wikipedia.org/wiki/Sara_Ramirez,non-binary,,['pansexuality' 'bisexuality'],,['they/them' 'she/her'],
Q536097,Florencia de la V,https://en.wikipedia.org/wiki/Florencia_de_la_V,['transgender female' 'travesti'],,,,,
Q27514601,Tiffany Jana,https://en.wikipedia.org/wiki/Tiffany_Jana,['non-binary' 'genderfluid'],,,,they/them,
Q3476794,Seanan McGuire,https://en.wikipedia.org/wiki/Seanan_McGuire,cisgender female,,['demisexuality' 'pansexuality' 'bisexuality'],,,
Q95201814,Laurie Marhoefer,https://en.wikipedia.org/wiki/Laurie_Marhoefer,t553738149,,,,['she/her' 'he/him'],
