metric,orientationStatistic,orientationPValue,genderStatistic,genderPValue,queernessStatistic,queernessPValue,orientationSignificant,genderSignificant,queernessSignificant
word_count,5.132668918821656,4.689854134200842e-07,2.854492499872103,0.0046202982078402,3.346020416644048,0.0009234007264778,yes,no,no
vader_compound,1.167633137157731,0.2437296798823671,1.3134966478191124,0.1900503109441976,1.4116113189036228,0.1590938861518376,no,no,no
vader_neg,2.100792237579708,0.0363561245225481,-0.0419290647105446,0.9665840003091882,0.6433125664974,0.5205094782019523,no,no,no
vader_neu,-1.8580228109400745,0.0639842205009281,1.2379817153386932,0.2167206956631048,-0.4884769592837557,0.6255665429421595,no,no,no
vader_pos,0.9393233649229316,0.3481963014260477,-1.3512893964390231,0.177652335113373,0.2098280851208257,0.8339433344790692,no,no,no
empath_help,-5.04974538738081,7.051785816160687e-07,-2.274245234675614,0.0236792245608349,-4.54979656873192,7.788546806382089e-06,yes,no,yes
empath_office,1.851837174243052,0.0648700649867568,0.1166472087434945,0.907220087192965,0.5899498913932351,0.5556653794416093,no,no,no
empath_dance,0.8126341136271331,0.4169664218376563,-0.7388672378081677,0.4605831438065789,1.064925399540692,0.2877603718298171,no,no,no
empath_money,2.3302124506521014,0.0203485204834453,1.1901354125861845,0.2349631972594679,-2.658724886680889,0.0082618294531885,no,no,no
empath_wedding,-0.0837258556885735,0.933321065852872,-1.8360531758188496,0.0673699210803889,-0.7318153771799035,0.4648487586444216,no,no,no
empath_domestic_work,-0.6044750262135498,0.5459096976194142,0.5473827959536712,0.5845353299943039,-0.0139590217087142,0.9888718907941172,no,no,no
empath_sleep,0.6957717687520026,0.4870219307117168,-0.9031934945511876,0.367170242663033,0.5593023955335471,0.576369895435918,no,no,no
empath_medical_emergency,0.8405042487971109,0.401185155961435,2.877557371343558,0.0043043753930429,2.4658153584053246,0.0142257908891421,no,no,no
empath_cold,-0.0578797162512866,0.9538766422728278,-0.7327971819440198,0.4642719918340211,2.3589908909833297,0.0189613050414836,no,no,no
empath_hate,3.3467054866092063,0.0009042841906565,2.2851377848165115,0.0230241248129874,1.492436309234458,0.1366287004644714,no,no,no
empath_cheerfulness,2.041173499940069,0.0419644283601879,2.042724742825716,0.0419805969482135,-0.9951898742227606,0.3204406316722306,no,no,no
empath_aggression,3.0631850586237346,0.002355324010723,2.6838314183843712,0.0076952463686816,2.690108435284404,0.0075402806396479,no,no,no
empath_occupation,-1.767144627639036,0.0780535719232401,-3.671241588948095,0.0002871096086426,-1.9958648889346744,0.0468464655700609,no,no,no
empath_envy,-0.0437685621073812,0.9651132207297,0.9566190583269528,0.3395536091858976,0.8851876469135571,0.3767596718210073,no,no,no
empath_anticipation,1.6514240758118537,0.0995264223685695,2.009932764031247,0.0453610502249868,0.6728256926504252,0.5015726877456078,no,no,no
empath_family,-1.8193076253809952,0.0696973654417984,-2.15951340063728,0.0316271787665764,-2.0590486162330075,0.040346812142061,no,no,no
empath_vacation,2.343749863857344,0.019635841164312,-0.4677996785861265,0.6402779952357459,3.029292741326613,0.0026630639493813,no,no,no
empath_crime,0.966673485809135,0.3343580356029578,-0.2428772219920216,0.8082716156222108,1.376049415478644,0.1698258762815324,no,no,no
empath_attractive,0.9754177837368584,0.3300098630946317,0.9683121720509664,0.3336925768771127,-0.1115718605230699,0.9112370013287155,no,no,no
empath_masculine,3.0813205558266867,0.0022199720327759,4.0251480021169055,7.267437848894765e-05,1.980158468906729,0.0485931209816898,no,yes,no
empath_prison,0.176561326310805,0.8599525347446308,-1.2034582041357738,0.229777162196887,-0.5723625016071732,0.5675022431721578,no,no,no
empath_health,2.2566233457185096,0.0246324704661477,3.1674958308585497,0.0017010329195324,2.417917119449016,0.0162013272208147,no,no,no
