metric,orientationStatistic,orientationPValue,genderStatistic,genderPValue,queernessStatistic,queernessPValue
liwc_funct,1.585824066292332,0.11371154512367541,3.138720911704028,0.0018698608271791991,3.508587202737578,0.0005121984367484835
liwc_pronoun,1.1446482706329921,0.25316240640475723,3.3944200562855937,0.0007825799828812784,2.111329063262471,0.03548657144033941
liwc_ppron,2.65986786223234,0.008188487950453616,4.026031795246416,7.229987034356236e-05,3.7854763235472797,0.000181837731605157
liwc_i,3.765448674342184,0.0001959309284344044,2.363064273176881,0.018777581789951314,3.5104759999008888,0.0005087029281629599
liwc_we,2.2395931066002572,0.025765255526700153,2.283708482209164,0.0231042332870543,1.354941778847719,0.17635181627418942
liwc_you,-1.5122583571368087,0.13139979359850773,-0.17002897981316595,0.8651046856186213,-2.0761010497599024,0.038649163176725974
liwc_shehe,1.1877372710879766,0.2357684474008748,0.5782869769943939,0.5635145884520609,1.9390545031638111,0.0533366790512139
liwc_they,2.420206042132474,0.01603691125897283,5.207429654817055,3.612516019677173e-07,3.1861175578627265,0.0015780226358757486
liwc_ipron,-2.1402094016740856,0.03305112999245526,1.1040227957914384,0.27048909964617174,-1.4139744286079157,0.15830082580154792
liwc_article,3.8211960564515146,0.00015796309200463013,1.945353367698023,0.0526887335006413,3.6834311373069903,0.00026832288170918975
liwc_verb,1.6111518731282435,0.10807726254938672,4.178350479639424,3.879446605472259e-05,3.0755188896698553,0.002274794103075977
liwc_auxverb,1.4019111936891673,0.16185671886104394,3.875696477685273,0.0001312473247698785,1.025285013730688,0.3059707017898609
liwc_past,1.345289730006446,0.1794308783914326,3.864208843838177,0.00013726293538185205,4.550130188139293,7.515023195373891e-06
liwc_present,0.25192134767053814,0.8012545162662976,1.390755759842891,0.16535482503838958,-0.45744468387781606,0.6476488639583887
liwc_future,1.5559767995174802,0.12064665891789468,1.71337848130168,0.08770066612093054,1.1669974084310535,0.24404391469373973
liwc_adverb,-3.205197372078904,0.0014780167423905748,0.447298524345412,0.6549900182047049,-2.0889352895109283,0.03747016469800565
liwc_preps,0.8050312677416421,0.4213658859940044,2.908331692562959,0.003911562666811565,4.380027833316949,1.5902629604387846e-05
liwc_conj,-2.4299233233347572,0.015620656931609,0.5370594241560959,0.5916341598369154,0.4114935522250019,0.6809745906274707
liwc_negate,1.8795824802822767,0.06102253029042826,1.3866744566073927,0.16659516674082644,1.014939386478011,0.3108693697378816
liwc_quant,1.5522010680602603,0.1215471651057927,-1.248890571801546,0.21270198059508416,1.9285396501806213,0.054635294571848625
liwc_number,0.5367262126232847,0.5918088046974861,1.6787721863123697,0.09426255299125282,2.4681504688418188,0.014081772196021788
liwc_swear,3.039838798410083,0.0025511896189541745,2.2226282039681164,0.027004056398635682,3.653260764077453,0.0003005366534982276
liwc_social,1.766361858037017,0.07823508830206123,3.2452089831075637,0.0013096022737127476,2.7407332517454925,0.006459949786702739
liwc_family,-1.9035256182898972,0.057818687374560813,-3.872497818129454,0.00013289676375096449,-2.6317062175898247,0.008889914106675386
liwc_friend,2.7568460183377463,0.006152114848772697,0.480052039638803,0.6315485665285827,1.975177494510928,0.04907106094625119
liwc_humans,0.4752312825110987,0.6349281770578167,3.9907843046649716,8.328331924677802e-05,3.7491343507781925,0.00020906971233502472
liwc_affect,2.364049399763924,0.018639728933799546,-0.4699212003648372,0.638760872060687,1.7634706222381185,0.07873543901912959
liwc_posemo,1.853114940427479,0.06473467150786537,-0.7305778222985589,0.4656208300684298,0.8293500209317269,0.40749869512966785
liwc_negemo,1.3122303288970758,0.1903302401582948,0.33888587814708815,0.7349384415244978,2.396176882201278,0.017116713963312245
liwc_anx,1.7131448833661511,0.08760016041131087,1.8691393389858477,0.06260092471420368,2.153332163887938,0.0320080139462526
liwc_anger,1.2881118326889054,0.19858556112844028,-0.09459237462895756,0.9247032625740945,2.2875001525914103,0.022791401595352083
liwc_sad,0.39024276179158796,0.6966021339996553,0.1685815448808609,0.8662421117743085,1.245432317374669,0.21384588258342294
liwc_cogmech,0.18109917822288646,0.8563979540953385,2.3223217676884125,0.020900792153673135,0.8433980531496413,0.3996094619658689
liwc_insight,-3.9338267576331036,0.00010142679597523706,2.524952202793872,0.012099172673151658,-1.946740916418375,0.052403854151498445
liwc_cause,-0.5106780331648678,0.6099089089166958,-0.6408033874851813,0.5221512944494111,-2.138426313309558,0.03320730257429824
liwc_discrep,-0.6928280648218841,0.4888918047372838,0.09782400841928783,0.9221389278683753,0.18292775642769693,0.8549656915036042
liwc_tentat,-1.0473892490912966,0.2956662727379928,0.38230810437090207,0.7025099995571618,-1.016500447394006,0.31012689369098284
liwc_certain,1.158264598319245,0.2475714033287079,0.8446085583055932,0.399018535354563,0.03497991969383759,0.9721166484184596
liwc_inhib,0.8508765407596687,0.3954385379906723,-1.1409710093250778,0.25481368672662624,0.013518736284556939,0.9892220089247394
liwc_incl,1.8088922443624729,0.07135355350090165,2.9398787481679394,0.003544877327053591,4.13403186928434,4.512798417121985e-05
liwc_excl,-0.4271065187501468,0.6695728825877638,1.32860640958445,0.1850116744516671,-0.14531455113149291,0.8845501795711983
liwc_percept,3.066005745629864,0.002343689071924259,0.690760348265391,0.4902630147718131,2.725933749509961,0.006750104938174643
liwc_see,2.319141537949761,0.02098131934201729,1.5523247182315625,0.12166399158802331,2.903535696367481,0.003935256379194633
liwc_hear,1.9236871251075567,0.05523092753103335,-1.2102027375133266,0.22717651178194667,1.391892631000003,0.16488107594047458
liwc_feel,1.762862284208006,0.07882470704937022,3.0299754714649114,0.002663876389127195,1.4216943060231046,0.15604808779806562
liwc_bio,2.194787423224042,0.028856624932405272,2.842767472439329,0.00478666545718651,3.623702089050563,0.0003355985582236761
liwc_body,0.9388982055575943,0.3484514803331523,1.3911163968962088,0.1652455612585393,2.5900161130088772,0.010017463460150498
liwc_health,-2.218578457281328,0.027177396341475313,2.0920840163075844,0.03729150636749155,0.8092307717291595,0.4189585068522286
liwc_sexual,5.077821498544932,6.312598904064939e-07,2.8054234999297014,0.005361333943274625,5.258595785129758,2.5972902158533773e-07
liwc_ingest,0.10829381757933569,0.9138266943082493,-0.9139742363674673,0.3614818746734446,-1.046136193279448,0.29625464309228466
liwc_relativ,3.7554342888179573,0.0002036053816264665,4.081172574107016,5.783456948398042e-05,6.568366108596538,1.9503568807463007e-10
liwc_motion,1.03448795071743,0.30164550138740787,1.3440162597119403,0.17998289183084126,3.3233915272162657,0.0009879421387748062
liwc_space,2.7567513489579283,0.0061538563993305245,1.5823739623369761,0.11464302053657711,4.9155813078473205,1.3901762287983826e-06
liwc_time,3.254749707519936,0.0012493399514030775,4.755757705534893,3.1061359107783443e-06,4.8199438964483745,2.183858375198378e-06
liwc_work,-1.335461034997996,0.1826214708823637,-3.278236256343258,0.0011704032815582695,-1.4564953674728938,0.14619513064629291
liwc_achieve,1.1892425957684125,0.23517652873774453,-0.2587196041108175,0.7960332484696182,1.7837729572446028,0.07536838188465596
liwc_leisure,-3.0906017802172223,0.0021629119209724697,-6.1384769802555565,2.701908699205959e-09,-5.499305915650608,7.591357450407106e-08
liwc_home,-1.0294675764075043,0.303993945589781,-0.46318722293936576,0.6435740259867996,0.4763743448156352,0.6341191867224859
liwc_money,-0.008884910254197778,0.9929161867995548,-0.04550151531238888,0.963738562745672,0.956268951301439,0.3396279993130682
liwc_relig,0.1726595077386584,0.8630221102877373,-3.0385400373469262,0.0025915794119805557,0.3785722284976864,0.7052460647994574
liwc_death,-0.6786016658857901,0.4978532676092777,-1.7061973137468418,0.0890309787388524,-0.5966769696314329,0.5511272834697512
liwc_assent,1.1012598814542505,0.2715648677481569,0.7046902985241189,0.48156274429089774,0.9636759197957565,0.3359056145695448
liwc_nonfl,0.9956622266797704,0.32012444137486346,-2.1447213933646334,0.03279737714379834,-2.572824348173845,0.010518547039058959
liwc_filler,,,0.8045291711320588,0.42174373647613506,0.6971218229110574,0.4862114889178537
